From,To,Similarity
Alcantar Sports interiør,Startsperre,0.16
04ML Interior strips,Vinterhjul,0.148
CAREG - REGULATED AIR CONDITIONIN,Airbag foran,0.087
B10 - 5-DØRS SEDAN,,0.0
ALEVA - AUTOMATISKE LYS + VINDUSVISKER,Elektriske speil,0.234
05DC Rear-seat headrests,,0.0
"19"" light-all.wheel dbl.spk.791M em.op.",Sentrallås,0.05
VI TAR DET MESTE I INNBYTTE,Startsperre,0.079
VELKOMMEN,Sommerhjul,0.23
Førerassistentpakke +,Sentrallås,0.059
Multimediapakke +,Multifunksjonsratt,0.194
Without passenger compartment protection,Kjørecomputer,0.122
Sky Lounge,,0.0
0407 Panorama glass roof,Airbag foran,0.069
Without front armrest,Oppvarmede seter,0.062
Without floor mat,,0.0
Without extra seat,Sentrallås,0.087
Without extra emblem,Sentrallås,0.073
Without extra electronic control unit,Sentrallås,0.108
Without extra display,Antispinn,0.115
04T7 Massage function f.driver &amp; fr.passenger,Sentrallås,0.049
front and rear,,0.0
"01XN 21"" LA wheel Y-spoke 741M emerg.op.",Sommerhjul,0.041
Ekstra fjernlys,Sentrallås,0.093
Veltebøyle,,0.0
3D kamera,Sommerhjul,0.118
Virtual Cockpit Pluss,,0.0
"18"" alufelger BUND tofarget grå Storm og dekkskum",Lettmet. felg vinter,0.102
"Kollisjonsputer foran, i siden og sidegardiner",Airbag foran,0.133
Without child seat fixtures,Isofix,0.126
"Soltak, elektrisk og sekvensielt",Elektriske speil,0.356
Without interior child monitoring mirror,Vinterhjul,0.11
Without load-dependent distribution valve,Elektriske speil,0.035
Styringsnummer advanced sport,Servostyring,0.233
12V uttak i midtkonsoll + i bag rom,Airbag foran,0.095
Without mounted CD player,Vinterhjul,0.052
Audi music interface foran med to USB-uttak,Airbag foran,0.146
Without luggage area cover,,0.0
"Klimaanlegg, 2-soners komfortklimaautomatikk",Klimaanlegg,0.669
Parkeringssystem plus med grafisk omgivelsesvisning,Servostyring,0.051
Ratt: Dobbelteikers multifunksjonsratt med rekupereringspaddler,Multifunksjonsratt,0.578
Speil: Elektrisk justerbare og oppvarmede speil,Elektriske speil,0.65
"nærlys, fjernlys, kjørelys, posisjonslys, blinklys, allværslys og automatisk-dynamisk lyshøyderegulering. LED baklys",Antiskrens,0.063
3-ekers multifunksjonsratt,Multifunksjonsratt,0.835
To koppholdere foran og to koppholdere bak,Airbag foran,0.112
"Climatronic, 2-soners klimaanlegg",Klimaanlegg,0.712
Dekktrykkontrollanviser,Elektriske speil,0.052
Elektronisk håndbrekk med Auto-hold bakkestartassistent,Elektriske speil,0.198
Front Assist med City Nødbrems og fotgjengerregistrering,Startsperre,0.168
Lysassistenten Coming and Leaving Home,Vinterhjul,0.104
Oppvarmede lyktespylere og vindusspylerdyser,Oppvarmede seter,0.321
Radio- og Navigasjonssystem Discover Pro,Radio FM,0.334
Stor kjørecomputer med fargedisplay,Kjørecomputer,0.665
ISOFIX - ISOFIX-SETE,Isofix,0.862
LAC - HEATED REAR SCREEN,,0.0
NAV3G5 - LEVEL 3 TYPE 5 NAVIGATION,,0.0
Park.sensorer foran,Airbag foran,0.219
Nyttelast 930 kg,,0.0
316 Heckklappenbetätigung automatisch,Antispinn,0.049
248 Lenkradheizung,Radio FM,0.102
2-Schicht-Metallic - Spacegrau Metallic,Lettmet. felg vinter,0.137
Skinnratt/girspak,Multifunksjonsratt,0.084
Skyvedør Høyreside,,0.0
Bluelink Appstyring av klimaanlegg,Klimaanlegg,0.636
Førerassistpakke,,0.0
8-veis elektrisk førersete,Elektriske speil,0.456
6.3 m³ i vareroms volum,Oppvarmede seter,0.065
Apple carplay/Andriod Auto,,0.0
Thule takstativ,Startsperre,0.056
Skigard 950 takboks,,0.0
Ettermontert multimediaspiller med DAB,Multifunksjonsratt,0.136
El. førersete med minnefunksjon,Multifunksjonsratt,0.321
STARTMOTOR KLASSE 4,Startsperre,0.2
"031MB 20"" Style 6007",Servostyring,0.068
GIRKASSE TYPE AUTOMAT/5 S,,0.0
BT TLF/Streaming,Servostyring,0.025
Filskifte/Trøtthetsvarsler,Oppvarmede seter,0.037
Bryter for deakt. av airbag pass. foran,Airbag foran,0.605
4UR Ambientes Licht,Vinterhjul,0.054
ryggekamera og dørkantbeskyttere,Antispinn,0.055
609 Navigationssystem Professional,Multifunksjonsratt,0.036
508 Park Distance Control vorn/hinten,Vinterhjul,0.088
samt system som parkerer bilen for deg,Sommerhjul,0.093
skiluke (skiluke er standard på Vignale),Startsperre,0.033
Aut. avbl. innv. speil m/lys/regn.s,Elektriske speil,0.183
Aux med usb-port,Oppvarmede seter,0.054
Styringsnummer yc9,Servostyring,0.276
- Metallic lakk,Sentrallås,0.116
Førerinfosystem,Servostyring,0.044
- Ryggesensor,Sentrallås,0.098
- Sommer og vinterhjul på alufelger ++++,Sommerhjul,0.678
494 Sitzheizung vorn,,0.0
-Isofix barnesetefesting,Isofix,0.515
481 Sportsitze vorn,Startsperre,0.071
Adaptiv Cruisekontrolll,Sentrallås,0.055
Bluetooth/handsfree,Bluetooth,0.597
337 M Sportpaket,,0.0
EURO STANDARD 4,Startsperre,0.073
4x el vinduer,El.vinduer,0.767
RALU16 - 16 ALUMINIUM WHEEL RIMS 1,Sentrallås,0.103
Fører ass pakke up standard,Startsperre,0.067
ESC (ELECTRONIC STABILITY CONTROL),Sentrallås,0.05
DRL - DEDICATED LED TYPE,,0.0
CHILD SAFETY RR DR LOCK'G,,0.0
ESP Elektronisk stabilitetsprogram,Elektriske speil,0.228
Bilen selges av et medlem av Norges Bilbransjeforb,Airbag foran,0.07
AUX in,,0.0
Tungs met. dashboard,Lettmet. felg vinter,0.071
Outside sound,,0.0
Topphegslet bakdør,Lettmet. felg vinter,0.087
FR IMPACT SENSOR,Sentrallås,0.1
Klargjort for Navigasjonssystem,Multifunksjonsratt,0.098
2 x Ladekabler,,0.0
Isofix fester for Barneseter,Isofix,0.58
VT002 - TINTED WINDOWS 002,Vinterhjul,0.089
VEC048 - COMMERCIAL VERSION,Sommerhjul,0.171
SGACHA - HEATED SEAT,,0.0
RV - CRUISE CONTROL,Sentrallås,0.087
RDAR02 - NÆRHETSSENSOR 02,Sentrallås,0.062
ESS (EMERGENCY STOP SIGNAL),Sommerhjul,0.056
HAC (HILLSTART ASSIST CONTROL),Sentrallås,0.207
*Carwings,Servostyring,0.03
065AJ ACC + Adaptive Lane Control,Sentrallås,0.05
*BOSE Lydanlegg,Klimaanlegg,0.381
Kjøling og varme i seter foran + varme i seter bak,Oppvarmede seter,0.529
Keyless Entry&amp;Drive,Sentrallås,0.089
Flerfarget LED interiør belysning,Vinterhjul,0.129
Topphengslet bakdør med vinduspusser,El.vinduer,0.145
"Sidespeil,elektrisk innfellbare",Elektriske speil,0.516
064QC Matrix LED headlights with signature DRL,Elektriske speil,0.037
3x ISOFIX Barnesetefester,Isofix,0.54
Hands Free Entry &amp; Drive Card,Sentrallås,0.124
KEYLESS ENTRY-B/ALARM,Sentrallås,0.096
Einparkhilfe hinten und Rückfahrkamera,Vinterhjul,0.068
188HD Ebony Morzine headlining,Servostyring,0.016
300BZ 18-Way D&amp;P Mem Htd&amp;Cld F 60:40 Folding,Servostyring,0.012
W/ HEATED,,0.0
VSM (VEHICLE STABILITY MANAGEMENT),Sentrallås,0.04
RR PARK'G ASSIST SYSTEM(RPAS),,0.0
PROJECTION - BI-FUNCTION(HIGH/LOW),Multifunksjonsratt,0.087
Personbilspeil,Elektriske speil,0.204
Without child safety,,0.0
Without auto braking collision danger (FARC),Servostyring,0.018
With stop and start function,Startsperre,0.21
Motor/Kupévarmer programmerbar,Oppvarmede seter,0.206
"Felg 6,5 JX15 4-27",Lettmet. felg vinter,0.175
ECRANDEVHRTACTILE,Airbag foran,0.054
C1WZ,,0.0
"Beskyttelse, førerplass",,0.0
Beskyttelse list støtfanger,,0.0
Barre diameter 25,Startsperre,0.163
73 kW - 254 Nm,,0.0
* - GRIS2,Elektriske speil,0.126
Sync II med navigering,Servostyring,0.073
Girkasse BE4 forsterket,Airbag foran,0.042
508 - Parkeringssensor Foran &amp; Bak,Airbag foran,0.184
563 - Lyspakke,,0.0
Nødhjelp,,0.0
MFD TFT berøringsskjem med nav,Startsperre,0.106
protection measures,,0.0
passenger airbag deactivation,Airbag foran,0.361
leather appearance,Airbag foran,0.074
clear glass cover,,0.0
Foraksel med deformasjonssone i plast,Airbag foran,0.128
"Kabin enkel, åpen",,0.0
5AV - Active Guard,,0.0
USB- og Jack kontakt,,0.0
1 Jack + USB contact,,0.0
trafikkskiltgjenkjenning,Sentrallås,0.052
LED-dagkjøringlys,Kjørecomputer,0.064
Komfortbelysning,Airbag foran,0.045
Kollisjonsvarsler med aktivt bremsinngrep fcw-stop,ABS-Bremser,0.124
Digital radiostandard dab (digi. audio broadc.),Radio FM,0.354
Attention assist (registrering av tretthet),Antispinn,0.071
Varerom komfort skillevegg,Klimaanlegg,0.067
TOLEDEM.+GRILLE+EXT,Oppvarmede seter,0.072
LED-lys foran,Airbag foran,0.312
Skyvedør h side,,0.0
SMEG DAB+  Radio m/bluetooth,Bluetooth,0.663
R1CAOUTCHOUC,,0.0
Partner,Startsperre,0.074
"Nyttelast, økt",,0.0
Matter i PVC,Multifunksjonsratt,0.076
Mansjett og girspak kule i plast,Lettmet. felg vinter,0.068
Look Pack pluss :Sidelister  og speil i  bilens farger. LED lys og tåkelys foran,Elektriske speil,0.141
5A2 - LED Kjørelys,Kjørecomputer,0.216
5DA - Deaktivering av Passasjerkollisjonspute,Kjørecomputer,0.108
2 front speakers,Elektriske speil,0.078
031UE 255/40 R22 Sum 103V,,0.0
Varme/ventilering i fremseter,Oppvarmede seter,0.278
022BC Four-zone Climate Control,Klimaanlegg,0.11
022GB Cabin Air Ionisation,Airbag foran,0.084
026EU Loadspace Partition Net,Startsperre,0.038
027CW Adaptive Dynamics,,0.0
029KA Continental Tyres,Antispinn,0.08
030NL Htd/P-Fold/Mem/A-Dim/App.Light Mirror,Radio FM,0.073
"031QT 22"" Style 5069",Servostyring,0.065
032BU Ebony Headlining,Servostyring,0.019
Filassistanse,Startsperre,0.066
032HL Full Extended Leather Upgrade,Radio FM,0.093
032MB Black Exterior Pack,Vinterhjul,0.028
033GQ Cooled/heated front seats &amp; heated rear,,0.0
033IP Driver and passenger seat memory,Sentrallås,0.059
033JN Lumber Seat-4 Way Adjust Bolster,Vinterhjul,0.022
033JP Front Seats - 12x12 Way,,0.0
033LR 033LR,,0.0
033QV Front Headrestraint - Non Adjustable,Sentrallås,0.05
95 AV1 VWGROUP LRV Driving on the right,Vinterhjul,0.064
96 B06 VWGROUP TPL Type approval country Norway,Sentrallås,0.037
5DP - Park Assistant,Antispinn,0.098
7S2 - Luxury Line,,0.0
610 - Head Up Display,Antispinn,0.14
654 - DAB+ Tuner,,0.0
6AC - Intelligent Emergency Call,Sentrallås,0.113
6AK - Connected Drive,,0.0
6FW - Media,Oppvarmede seter,0.071
and modified injection pressure,,0.0
6UP - Navigation Plus,,0.0
7LE - Model Luxury Line,,0.0
El sete fører,Oppvarmede seter,0.233
Apple carplay/Android auto,,0.0
Sort innv tak,Antispinn,0.105
Technology,,0.0
Dekktrykksesnsor,Elektriske speil,0.058
Interface,Vinterhjul,0.217
"ASR, EBV, and EDTC",,0.0
"99 C3M VWGROUP RAD 4 alloy wheels ""Spoke"" 5.5J x 15",Radio FM,0.106
"98 C04 VWGROUP COC Operating permit, alteration",Startsperre,0.1
97 B0A VWGROUP BLB Component parts set without country-specific building regulation,Startsperre,0.088
1 storage drawer under the seat,Airbag foran,0.066
ABS brakes,ABS-Bremser,0.188
With roof shelf,,0.0
Standard repair,Airbag foran,0.125
481 - Sportsseter,Oppvarmede seter,0.162
493 - Oppbevaringspakke,Oppvarmede seter,0.115
With battery charge measurement,ABS-Bremser,0.05
Windshield wiper with auto function,Startsperre,0.059
Visibility pack - automatic lights and windscreen wipers,Startsperre,0.046
Turbo intercooler direkte innsprøytning,Vinterhjul,0.095
Turbo intercooler direct injection,Vinterhjul,0.104
Storage compartment at the bottom locked with key,Kjørecomputer,0.112
Standard inner fender with foam layer,Antispinn,0.043
3AT - Roof Rails Aluminium Satinated,,0.0
Speed measurement unit in km/h,ABS-Bremser,0.053
Speed limiter and regulator,Klimaanlegg,0.07
Soundproofing dashboard 4 kg,Isofix,0.111
"Single cab, open type",Servostyring,0.027
Sikkerhet:,Vinterhjul,0.15
Roof shelf,,0.0
Roof antenna + Digital,Antispinn,0.08
Remote control of car radio,Radio FM,0.498
473 - Midtarmelene foran,Airbag foran,0.189
3AG - Ryggekamera,Sommerhjul,0.063
Pyrotechnic safety belt with alarm,Oppvarmede seter,0.042
App styring av varmeapparat,Servostyring,0.279
Harman Kardon Høyttalere,Oppvarmede seter,0.056
KIA LIVE,,0.0
LADEPLATE,,0.0
SPORHOLDERASSISTENT,Sentrallås,0.053
With map reader,,0.0
With flexible heat partition,Startsperre,0.042
Elektrisk motorvarmer kan ettermonteres-spør oss om pris,Elektriske speil,0.336
Activity key,,0.0
205 - Automatic Transmission,Sentrallås,0.067
322 - Comfort Access,Kjørecomputer,0.082
248 - Oppvarmbart Ratt,Oppvarmede seter,0.419
249 - Multifunksjonsratt,Multifunksjonsratt,0.94
255 - Sportsratt i skinn,Multifunksjonsratt,0.211
With external temperature probe,Startsperre,0.059
2VG - Performance Control,Startsperre,0.073
302 - Alarmsystem,Oppvarmede seter,0.062
313 - Exterior Mirror Package,Vinterhjul,0.03
316 - Automatisk baklukebetjening,Antiskrens,0.105
494 - Setevarme Foran,Oppvarmede seter,0.344
Premium rubber mats,ABS-Bremser,0.058
Accessory socket,,0.0
Daytime running lights,Servostyring,0.022
Engine DV6F,,0.0
Electric power steering sleep mode,Elektriske speil,0.089
Electric folding of exterior rearview mirror,Elektriske speil,0.076
Electric adjustment of the exterior rearview mirror on the driver's side,Lettmet. felg vinter,0.074
Eksteriør:,Vinterhjul,0.06
Diverse:,,0.0
Diesel motor DV6FD FAP,,0.0
Diesel engine DV6FD FAP,,0.0
Construction without steel wheels,Multifunksjonsratt,0.038
Exhaust cleaning motor Euro 6.1,Servostyring,0.02
Collision airbag on the passenger side,Airbag foran,0.391
Collision airbag on the driver's side,Airbag foran,0.408
Bosch innsprøytningssystem,Antispinn,0.042
Battery L3 760 VRLA2 EN AGM,Multifunksjonsratt,0.041
Automatic light in trunk and cargo area,Multifunksjonsratt,0.056
Autodiagnosis EOBD without accelerometer,Lettmet. felg vinter,0.059
"Audio system with CD player RDS ""RD4/MP3""",Radio FM,0.108
Additional storage compartments,Kjørecomputer,0.125
Engine type DV,,0.0
Exterior temperature gauge,Startsperre,0.061
Passenger's exterior mirror electric operation,Elektriske speil,0.079
"Light on the driver's side, concealment function without light on the passenger side",Sentrallås,0.069
Parallel height adjustment on the driver's side,Sentrallås,0.2
PVC trunk mat,Multifunksjonsratt,0.089
Neutral rear door protection,Sentrallås,0.176
Manual gearbox MCI,,0.0
Manual gearbox MC,,0.0
Lydsystem og kommunikasjon:,Sommerhjul,0.08
Lowered suspension,Antiskrens,0.061
Light signature,,0.0
"Light on driver's side, concealment function light on passenger side",Sentrallås,0.076
Front bumper in body color + chrome locking ring and rear bumper in body color,Startsperre,0.07
LED daytime running lights,Servostyring,0.021
Komfort og bekvemmelighet:,Sommerhjul,0.063
Interiør:,Vinterhjul,0.328
"Interior rearview mirror, day/night",Vinterhjul,0.107
Interior door handle in unpainted finish,Vinterhjul,0.189
Heated windshield,El.vinduer,0.057
Heated exterior mirror,Vinterhjul,0.034
Fuel tank 53 liters,Vinterhjul,0.042
regnsensor og automatisk avblendbart bakspeil,Elektriske speil,0.186
654 DAB-Tuner,,0.0
nøkkefritt system,,0.0
Aluminiumsfelger på sommerdekk,Lettmet. felg sommer,0.328
Mazda Connect,,0.0
Bose lydanlegg med 12 høyttalere,Klimaanlegg,0.295
El. speil med varme,Oppvarmede seter,0.399
Bakkestart-assistanse,Startsperre,0.223
Tekknikkpakke PRO,,0.0
270 grader dørhengs.,Radio FM,0.151
Arbeidsbenk/skrivepult,Antiskrens,0.106
Aluminiumsfelger på vinterdekk,Lettmet. felg vinter,0.264
AUX/USB tilkobbling,Servostyring,0.021
Høy- og lavserie,ABS-Bremser,0.076
Blitzere,,0.0
Enkelt pass.sete m/høydejustering,Oppvarmede seter,0.1
Høyt tak lakkert,,0.0
Trådløs mobiltelefonlading,Radio FM,0.114
Ledlys for sideh.bakdører,Airbag foran,0.039
Massasje i førerstol,,0.0
Park.sensor for/bak,Airbag foran,0.156
Påbygg-tilkobl.(is2),,0.0
JBL Synthesis sound system,,0.0
"Full led-frontlys, aut-fjernlys og aut-pusser",ABS-Bremser,0.037
Stikkontakter,Vinterhjul,0.038
U26 Gulvmatter - AMG,Multifunksjonsratt,0.048
U01 Statusindikator belte bak,El.vinduer,0.045
04U6 Quick charg altern current multi-phase,Multifunksjonsratt,0.123
U10 Beifahrersitz mit Gewichtserkennung,ABS-Bremser,0.031
U19 Utvidet virkelighet video,,0.0
0382 Roof and mirror caps white,,0.0
Seter nedkjølbare foran,Airbag foran,0.183
Krell Soundsystem,Antiskrens,0.136
U25 Terskellist belyst,Elektriske speil,0.103
U55 Flerstags hjuloppheng,Vinterhjul,0.153
Eberspächer webasto med appstyring,Servostyring,0.225
U60 Fotgjengerbeskyttelse - aktivt panser,ABS-Bremser,0.04
U62 Licht- und Sichtpaket,,0.0
U70 Bremsekalipere lakkert i rødt,ABS-Bremser,0.239
Filfølgerassistent,Sentrallås,0.052
Fartsgrensevarsler,Antiskrens,0.14
U88 AMG rattknapper (AMG Drive Unit),Multifunksjonsratt,0.066
Differensial med sperre,Startsperre,0.342
Deaktiverbar Passasjerairbag,Airbag foran,0.417
Skyvedør h.side høy,,0.0
Utvidet vegg,Klimaanlegg,0.093
"RSZ AMG-dobbeleikefelg på 19 tommer ""på alle hjul""",Sommerhjul,0.267
Skinnseter med elektrisk justering,Elektriske speil,0.436
"Høyttalere, antall: 13",Sentrallås,0.092
Standard gateversjon,Multifunksjonsratt,0.082
Bang&amp;Olufsen Play,Sentrallås,0.064
Speedometer for km/t,Lettmet. felg vinter,0.105
Skinntrukket girspak,Sentrallås,0.055
Innfellbare utv. speil,Elektriske speil,0.226
Sikkerhetsbeltevarsler for fører- og passasjer,Vinterhjul,0.074
Ryggekamera panorama 360 grader,Radio FM,0.112
Plastgulv i varerom,Oppvarmede seter,0.052
Tirefit luftkompressor,Kjørecomputer,0.066
Plastgulv i kupé,,0.0
"10,25’’ Touch-Multimedia",Multifunksjonsratt,0.159
Parkeringspakke bak,Servostyring,0.074
Parkeringsbrems,ABS-Bremser,0.405
Norsk instruksjonsbok,Multifunksjonsratt,0.167
NORWICH sort stoffinteriør,Vinterhjul,0.125
BlueLink Appstyring,Servostyring,0.309
Delt Nedfellbare bakseter,Oppvarmede seter,0.119
Synlig chassisnummer fra utsiden,Sommerhjul,0.099
Tysk styringskode - NOR6,Servostyring,0.269
Vindu med åpning/lukking,El.vinduer,0.191
mørke ruter i varerom,Kjørecomputer,0.113
03DZ Omission of additional lettering outer,Lettmet. felg vinter,0.161
Intellilux Matrix LED Lys,Vinterhjul,0.112
Forhåndsvarmer,Oppvarmede seter,0.188
F1-rattgir,Multifunksjonsratt,0.097
GT stoffmatter,Multifunksjonsratt,0.051
Panormama glasstak,Startsperre,0.05
El.førerstol,,0.0
"17"" alufelger",Lettmet. felg vinter,0.219
Vinduer i bakdører med viskeranlegg,El.vinduer,0.387
Pre-Crash,Kjørecomputer,0.136
Venstre skyvedør med vindu,El.vinduer,0.214
Vektvariant 2027 kg,Antispinn,0.071
Varmesete for fører,Oppvarmede seter,0.388
Varme i vinduer bak,El.vinduer,0.631
