,From,To,Similarity
87,cd-spiller,cd-spiller,1.0
88,• cd-spiller,cd-spiller,1.0
89,cd spiller,cd-spiller,0.762
90,- air conditioner,air condition,0.903
91,- air condition,air condition,1.0
92,• air condition,air condition,1.0
93,air conditioner,air condition,0.903
94,• diesel-partikkelfilter,diesel-partikkelfilter,1.0
95,- diesel-partikkelfilter,diesel-partikkelfilter,1.0
96,sentrallås m/fjernst,fjernstyrt sentrallås,0.798
97,sentrallås fjernstyrt,fjernstyrt sentrallås,1.0
98,pollenfilter,pollenfilter,1.0
99,• pollenfilter,pollenfilter,1.0
100,pollen filter,pollenfilter,0.804
101,- alarm,alarm,1.0
102,-alarm,alarm,1.0
103,-skinnratt,skinnratt,1.0
104,m skinnratt,skinnratt,1.0
105,lakkerte utvendige speil,lakkerte utvendige speil,1.0
106,• lakkerte utvendige speil,lakkerte utvendige speil,1.0
107,sideairbager,sideairbager,1.0
108,• sideairbager,sideairbager,1.0
109,sideairbager bak,sideairbager,0.975
110,aux-inngang,aux-inngang,1.0
111,• aux-inngang,aux-inngang,1.0
112,elektrisk sete u.memory,elektrisk sete m. memory,0.941
113,• elektrisk sete u. memory,elektrisk sete m. memory,1.0
114,elektrisk sete u/memory,elektrisk sete m. memory,0.941
115,• skinnseter,skinnseter,1.0
116,skinnseter.,skinnseter,1.0
117,• mørke ruter bak,parkeringsensor bak,0.192
118,-mørke ruter bak,parkeringsensor bak,0.192
119,840 mørke ruter bak,parkeringsensor bak,0.158
120,lyktespylere,regulerbart ratt,0.059
121,• lyktespylere,regulerbart ratt,0.059
122,lyktespyler,regulerbart ratt,0.061
123,nedfellbare seter,skinnseter,0.157
124,nedfellbare seter bak,skinnseter,0.153
125,el.hengerfeste,sideairbager,0.06
126,.hengerfeste,sideairbager,0.074
127,el. tilhengerfeste,sideairbager,0.06
128,hengerfeste.,sideairbager,0.074
129,hengefeste,navigasjonssystem,0.031
130,el henger feste,sideairbager,0.088
131,- henger feste,sideairbager,0.088
132,stålbjelker,parkeringsensor bak,0.05
133,stlbjelker,parkeringsensor bak,0.05
134,aux/usb tilkobling,aux-inngang,0.112
135,aux og usb tilkobling,aux-inngang,0.131
136,aux/usb tillkobling,aux-inngang,0.107
137,ekstra mørktonede vinduer bak,el.vinduer,0.395
138,ekstra mørktonede vinduer,el.vinduer,0.402
139,klimaanlegg 2-soner,klimaanlegg,0.813
140,-klimaanlegg 2-soner,klimaanlegg,0.813
141,klimaanlegg 2sone,klimaanlegg,0.839
142,nødbremseforsterker,abs-bremser,0.282
143,• nødbremseforsterker,abs-bremser,0.282
144,nøkkelløs start/stop,startsperre,0.289
145,nøkkelløs start og stop,startsperre,0.232
146,nøkkelløs start/stopp,startsperre,0.279
147,bagasjeromstrekk / hattehylle,navigasjonssystem,0.084
148,bagasjeromstrekk/hattehylle,navigasjonssystem,0.075
149,bagasjeromstrekk,navigasjonssystem,0.12
150,723 bagasjeromstrekk,navigasjonssystem,0.11
151,- seter i delskinn,skinnseter,0.557
152,- seter i helskinn,skinnseter,0.518
153,oppvarmede sidespeil,oppvarmede seter,0.651
154,oppvarmede side speil,oppvarmede seter,0.715
155,oppvarmede speil,oppvarmede seter,0.775
156,motorvarmer,oppvarmede seter,0.218
157,• motorvarmer,oppvarmede seter,0.218
158,isofix barnesetefesting,isofix,0.529
159,-isofix barnesetefesting,isofix,0.529
160,isofix barneseteinnfesting,isofix,0.483
161,isofix barnesetefestning,isofix,0.494
162,lakkerte støtfangere,lakkerte utvendige speil,0.359
163,• lakkerte støtfangere,lakkerte utvendige speil,0.359
164,lakkert støtfanger,lakkerte utvendige speil,0.299
165,lakkert bakre støtfanger,lakkerte utvendige speil,0.266
166,sportsinteriør,skinninteriør,0.374
167,rs sports interiør,skinninteriør,0.466
168,sort interiør,skinninteriør,0.527
169,korsryggjustering på førersetet,ryggekamera,0.149
170,korsryggjustering førersete,ryggekamera,0.154
171,korsryggjustering førerstol,ryggekamera,0.148
172,cruisecontrol (adaptiv),cruisekontroll,0.516
173,cruise controll ( adaptive ),cruisekontroll,0.614
174,led lykter,skinnseter,0.054
175,ledlykter,skinnseter,0.045
176,led-lykter,skinnseter,0.045
177,*fjernlysassistent,fjernstyrt sentrallås,0.232
178,• fjernlysassistent,fjernstyrt sentrallås,0.232
179,fjernlysassisten,xenonlys,0.204
180,lys fjernlysassistent,xenonlys,0.244
181,regn og lyssensor,regnsensor,0.656
182,regn- og lyssensor,regnsensor,0.656
183,"• hengerfeste, fast krok",sideairbager,0.053
184,hengerfeste fast krok,sideairbager,0.053
185,innfelbare speil,elektriske speil,0.246
186,innfellbare el speil,elektriske speil,0.244
187,innfeldbare speil,elektriske speil,0.226
188,kupevarmer,oppvarmede seter,0.224
189,• kupevarmer,oppvarmede seter,0.224
190,cupevarmer,oppvarmede seter,0.217
191,*led kjørelys,kjørecomputer,0.279
192,-led kjørelys,kjørecomputer,0.279
193,med kjørelys,kjørecomputer,0.286
194,alarm fabrikk montert,alarm,0.477
195,alarm fabrikkmontert,alarm,0.406
196,-elektrisk bakluke,elektriske speil,0.508
197,• elektrisk bakluke.,elektriske speil,0.508
198,med elektrisk bakluke,elektriske speil,0.495
199,elektronisk bakluke,elektriske speil,0.328
200,elektrisk takluke,elektriske speil,0.501
201,panorama glass tak,takrails,0.097
202,* panorama glasstak,takrails,0.088
203,panorama glasstak.,takrails,0.088
204,- sportseter,skinnseter,0.228
205,- sportsseter,skinnseter,0.213
206,agr sportsseter,skinnseter,0.177
207,- luft fjæring,parkeringsensor bak,0.094
208,-luftfjæring,parkeringsensor bak,0.076
209,luftfjæring.,parkeringsensor bak,0.076
210,luft fjæring,parkeringsensor bak,0.094
211,luftfjæringer,parkeringsensor bak,0.071
212,avblending av speil,lakkerte utvendige speil,0.326
213,avblending i speil,lakkerte utvendige speil,0.326
214,aut.avbleding i speil,elektriske speil,0.207
215,av blending av speil,lakkerte utvendige speil,0.389
216,el-oppvarmet ratt,oppvarmede seter,0.515
217,oppvarmet ratt@,oppvarmede seter,0.652
218,diff.sperre,startsperre,0.418
219,• diff.sperre,startsperre,0.418
220,diff. sperre,startsperre,0.538
221,diff sperre,startsperre,0.538
222,stabilitetssystem antiskrens,antiskrens,0.609
223,• stabilitetssystem antiskrens,antiskrens,0.609
224,høydejusterbart ratt,regulerbart ratt,0.395
225,- høydejusterbart ratt,regulerbart ratt,0.395
226,dybdejusterbart ratt,regulerbart ratt,0.311
227,høydejusterbare ratt,regulerbart ratt,0.337
228,tonende ruter,kjørecomputer,0.117
229,• tonede ruter,oppvarmede seter,0.178
230,tonederuter,oppvarmede seter,0.151
231,"nøkler, antall",metallic lakk,0.209
232,"nøkler, antall: 5",metallic lakk,0.209
233,"oppvarmede seter foran, ant.: 4",oppvarmede seter,0.863
234,"oppvarmede seter foran, ant.",oppvarmede seter,0.863
235,stor kjørekomputer plus,kjørecomputer,0.602
236,stor kjørekomputer,kjørecomputer,0.643
237,stor kjørecomputer plus,kjørecomputer,0.871
238,bluetooth telefoni,bluetooth,0.788
239,bluetooth mobiltelefoni,bluetooth,0.665
240,bluethoot telefoni,bluetooth,0.409
241,bluetooth for telefon,bluetooth,0.8
242,høydejusterbare frontlys,regulerbart ratt,0.179
243,• høydejusterbare frontlys,regulerbart ratt,0.179
244,høydejusterbare lys,regulerbart ratt,0.214
245,høydejusterbare,regulerbart ratt,0.22
246,høyde justerbare frontlys,regulerbart ratt,0.198
247,lengdejusterbart ratt,regulerbart ratt,0.354
248,• lengdejusterbart ratt,regulerbart ratt,0.354
249,lengdejusterbart,regulerbart ratt,0.248
250,• automatisk klimaanlegg,klimaanlegg,0.802
251,- automatisk klimaanlegg,klimaanlegg,0.802
252,nedfellbart sete,skinnseter,0.123
253,nedfellbart baksete,skinnseter,0.11
254,el. nedfellbart baksete,skinnseter,0.11
255,40/60 nedfellbart baksete,skinnseter,0.093
256,"klimaanlegg, manuelt",klimaanlegg,0.755
257,klimaanlegg manuelt,klimaanlegg,0.755
258,• delte bakseter,beltevarsler,0.259
259,delt baksete,skinnseter,0.171
260,delt bakseterygg,ryggekamera,0.222
261,kurvetåkelys,diesel-partikkelfilter,0.058
262,- kurve/tåkelys,diesel-partikkelfilter,0.058
263,elektriske vindusheiser foran og bak,elektriske speil,0.446
264,"elektriske vindusheiser, foran og bak",elektriske speil,0.446
265,automat gir,,0.0
266,*automatgir,,0.0
267,• automatgir,,0.0
268,ga automat gir,,0.0
269,høydejusterbart førersete,regulerbart ratt,0.241
270,el. høydejusterbart førersete,regulerbart ratt,0.241
271,høydejusterbart fremsete,regulerbart ratt,0.234
272,høydejusterbart forsete,regulerbart ratt,0.249
273,lasteholdere/skistativ,skinnseter,0.071
274,lasteholder/skistativ,skinnseter,0.073
275,lasteholdere / takstativ,takrails,0.073
276,- led hovedlys *,xenonlys,0.083
277,* led hovedlys,xenonlys,0.083
278,632 led hovedlys,xenonlys,0.07
279,soltak elektrisk,elektriske speil,0.525
280,"soltak, elektrisk",elektriske speil,0.525
281,oppvarmet - frontrute,oppvarmede seter,0.521
282,*oppvarmet frontrute,oppvarmede seter,0.521
283,med oppvarmet frontrute,oppvarmede seter,0.564
284,bakkestartassistent,startsperre,0.196
285,bakkestart-assistent,startsperre,0.196
286,-bakkestarts-assistent,startsperre,0.265
287,bakkestartsassistent,startsperre,0.265
288,dekktrykksovervåkning,vinterdekk,0.152
289,dekktrykksovervåking,vinterdekk,0.158
290,2vb dekktrykksovervåking,vinterdekk,0.151
291,dekktrykksovervåkning tpms,vinterdekk,0.139
292,- head up display,antispinn,0.16
293,- headup display,antispinn,0.128
294,• head up display,antispinn,0.16
295,• abs-bremser,abs-bremser,1.0
296,• abs bremser,abs-bremser,0.749
297,varmeseter,oppvarmede seter,0.47
298,varme seter,oppvarmede seter,0.643
299,elektriske innfellbare speil,elektriske speil,0.679
300,-elektrisk innfellbare speil,elektriske speil,0.606
301,elektronisk innfellbare speil,elektriske speil,0.462
302,nøkkelfri lås/start,diesel-partikkelfilter,0.209
303,nøkkelfri lås/ start,diesel-partikkelfilter,0.252
304,6x kollisjonsputer,kjørecomputer,0.207
305,• kollisjonsputer,kjørecomputer,0.207
306,kollisjonspute,kjørecomputer,0.184
307,knekollisjonspute,kjørecomputer,0.149
308,kollisjonsvarsler,beltevarsler,0.389
309,- kollisjonsvarsler,beltevarsler,0.389
310,kollisjonsvarlser,navigasjonssystem,0.14
311,360º kamera,ryggekamera,0.509
312,360€ kamera,ryggekamera,0.509
313,-elektriske vindusheiser,elektriske speil,0.475
314,• elektriske vindusheiser,elektriske speil,0.475
315,oppvarmede seter bak.,oppvarmede seter,0.963
316,oppvarmet seter bak,oppvarmede seter,0.805
317,filskiftvarsler,beltevarsler,0.351
318,filskift-varsler,beltevarsler,0.351
319,filskift varsler,beltevarsler,0.417
320,- adaptive kjørelys,kjørecomputer,0.219
321,adaptive kjørelys,kjørecomputer,0.219
322,adaptive led kjørelys,kjørecomputer,0.211
323,nedfelbare bakseter,skinnseter,0.143
324,-nedfellbare bakseter,skinnseter,0.142
325,• nedfellbare bakseter,skinnseter,0.142
326,nedfeldbare bakseter,skinnseter,0.133
327,60:40 nedfellbare bakseter,skinnseter,0.124
328,nedfellbare bakster,lettmet. felg vinter,0.098
329,40/20/40 nedfellbare bakseter,skinnseter,0.11
330,aluminiumfelger,lettmet. felg vinter,0.146
331,aluminiumsfelger 8,lettmet. felg vinter,0.143
332,aluminium felger,lettmet. felg vinter,0.176
333,"18"" aluminiumsfelger",lettmet. felg vinter,0.143
334,elektronisk bremsekraftfordeling,abs-bremser,0.212
335,• elektronisk bremsekraftfordeler,elektriske speil,0.242
336,ebd (elektronisk bremsekraftfordeling),abs-bremser,0.202
337,elektronisk bremsekraftfordeling (ebd),abs-bremser,0.202
338,klimaanlegg i antall 3 soner,klimaanlegg,0.783
339,"klimaanlegg, antall soner: 5",klimaanlegg,0.783
340,midtarmlene foran,midtarmlene,0.928
341,midtarmlene  foran,midtarmlene,0.928
342,midtarmlen foran,midtarmlene,0.879
343,midtarmelene foran,midtarmlene,0.667
344,hengerfeste. innsvingbart,skinnseter,0.173
345,hengerfeste el. svingbart,regulerbart ratt,0.1
346,hengerfeste innsvingbart,skinnseter,0.173
347,"tilhengerfeste, innsvingbart",skinnseter,0.158
348,hengerfeste (avtagbart),regulerbart ratt,0.091
349,* hengerfeste avtagbart,regulerbart ratt,0.091
350,skilt leser,diesel-partikkelfilter,0.19
351,skiltleser,diesel-partikkelfilter,0.144
352,- skiltleser,diesel-partikkelfilter,0.144
353,klimaanlegg med 3 soner,klimaanlegg,0.866
354,klimaanlegg med 5 soner,klimaanlegg,0.866
355,dieselvarmer med fjernkontroll,cruisekontroll,0.257
356,drivstoffvarmer med fjernkontroll,cruisekontroll,0.226
357,- dieselvarmer med fjernkontroll,cruisekontroll,0.257
358,dieselvarmer med fjernkontroll (webasto),cruisekontroll,0.225
359,dieselvarmer m fjernkontroll,cruisekontroll,0.26
360,dieselvarmer m/fjernkontroll,cruisekontroll,0.248
361,tilleggsvarmer med fjernkontroll,cruisekontroll,0.253
362,"18"" lettmetall felger",lettmet. felg vinter,0.701
363,8 x lettmetallfelger,lettmet. felg vinter,0.623
364,parkering avstandsføler bak,parkeringsensor bak,0.342
365,• parkering avstandsføler bak,parkeringsensor bak,0.342
366,klimaanlegg bak,klimaanlegg,0.972
367,- klimaanlegg bak,klimaanlegg,0.972
368,parkering avstandsføler foran,parkeringsensor foran,0.391
369,• parkering avstandsføler foran,parkeringsensor foran,0.391
370,parkering avstandsføler bak og foran,parkeringsensor foran,0.386
371,nødoppringing,parkeringsensor bak,0.087
372,nødoppringning,parkeringsensor bak,0.08
373,elektrisk regulering av sete,regulerbart ratt,0.507
374,elektrisk regulering av seter foran,regulerbart ratt,0.47
375,aux-tilkobling,aux-inngang,0.111
376,aux tilkobling,aux-inngang,0.138
377,app tilkobling,parkeringsensor bak,0.026
378,aux kobling,aux-inngang,0.174
379,bixenon,xenonlys,0.559
380,*bixenon,xenonlys,0.559
381,varmedempende glass,oppvarmede seter,0.332
382,840 varmedempende glass,oppvarmede seter,0.305
383,navigsjon,navigasjonssystem,0.374
384,"navigasjon,",navigasjonssystem,0.747
385,- apple car play,handsfree opplegg,0.28
386,• apple carplay,handsfree opplegg,0.231
387,apple car play,handsfree opplegg,0.28
388,frontkamera,ryggekamera,0.353
389,frontkamera.,ryggekamera,0.353
390,ratt regulerbart elektrisk m/ minne,regulerbart ratt,0.776
391,-ratt regulerbart elektrisk u/minne,regulerbart ratt,0.749
392,- mobiltelefoni,pollenfilter,0.186
393,mobiltelefoni,pollenfilter,0.186
394,firehjulstrekk,vinterhjul,0.208
395,- firehjulstrekk,vinterhjul,0.208
396,firhjulstrekk,vinterhjul,0.353
397,"bakseter, justerbart",regulerbart ratt,0.301
398,"bakseter, justerbare",regulerbart ratt,0.236
399,bakseter justèrbare,skinnseter,0.155
400,baksete justerbart,regulerbart ratt,0.316
401,ekstra mørke ruter bak,parkeringsensor bak,0.147
402,ekstra mørker ruter bak,parkeringsensor bak,0.213
403,- ekstra mørke ruter bak,parkeringsensor bak,0.147
404,ekstra mørktonede ruter bak,oppvarmede seter,0.114
405,"kollisjonsputer, antall: 3",metallic lakk,0.216
406,"kollisjonsputer, antall: 11",metallic lakk,0.216
407,tretthetsvarsel (daa),beltevarsler,0.109
408,tretthetsvarsler (daa),beltevarsler,0.321
409,blindsone overvåkning,servostyring,0.09
410,blindsoneovervåkning,servostyring,0.078
411,blind sone overvåkning,servostyring,0.098
412,blis- bindsoneovervåkning,servostyring,0.074
413,"høyttalere, antall: 30",metallic lakk,0.236
414,"høyttalere, antall: 16",metallic lakk,0.236
415,aktive hodestøtter foran,airbag foran,0.203
416,aktive hodestøtter: foran,airbag foran,0.203
417,jbl stereo-anlegg,klimaanlegg,0.325
418,jbl stereoanlegg,klimaanlegg,0.325
419,stereoanlegg,klimaanlegg,0.353
420,seter oppvarmet,oppvarmede seter,0.838
421,bakseter oppvarmet,oppvarmede seter,0.713
422,sete oppvarmet,oppvarmede seter,0.814
423,3. seterad oppvarmet,oppvarmede seter,0.749
424,seter oppvarmet bak,oppvarmede seter,0.805
425,android auto.,handsfree opplegg,0.063
426,-android auto,handsfree opplegg,0.063
427,adroid auto,,0.0
428,varme  i ratt,oppvarmede seter,0.367
429,varme i ratt!,oppvarmede seter,0.367
430,varme i ratter,oppvarmede seter,0.372
431,radio cd spiller,cd-spiller,0.625
432,radio/cd spiller,cd-spiller,0.496
433,radio/cd-spiller,cd-spiller,0.747
434,bluetooth hands-free,bluetooth,0.734
435,bluetooth m/ handsfree,bluetooth,0.734
436,bluetooth handsfri,bluetooth,0.752
437,- el speil,elektriske speil,0.543
438,-el. speil,elektriske speil,0.543
439,- parkeringsassistent,parkeringsensor bak,0.455
440,-parkeringsassistent,parkeringsensor bak,0.455
441,oppvarmede spyledyser,oppvarmede seter,0.506
442,oppvarmede spylerdyser.,oppvarmede seter,0.508
443,oppvarmede vindusspylerdyser,oppvarmede seter,0.436
444,stigtrinn,skinnseter,0.081
445,-stigtrinn,skinnseter,0.081
446,el-stigtrinn,skinnseter,0.071
447,tilhengerstabilitetssystem,navigasjonssystem,0.193
448,hengerstabilitet-system,navigasjonssystem,0.134
449,oppgradert stereo,radio fm,0.149
450,jbl oppgradert stereo,radio fm,0.138
451,nødbremseassistent,abs-bremser,0.323
452,bremseassistent,abs-bremser,0.368
453,bremseassistent bak,abs-bremser,0.358
454,bremseassistent plus,abs-bremser,0.339
455,3 isofix bak,isofix,0.952
456,"isofix, bak",isofix,0.952
457,kollisjonspute foran,airbag foran,0.199
458,kollisjonsputer foran,airbag foran,0.197
459,kollisjonsputer (foran ),airbag foran,0.197
460,kollisjonspute side foran,airbag foran side,0.311
461,bekkenkollisjonspute foran,airbag foran,0.152
462,kol li sjons pu ter foran,airbag foran,0.315
463,-varmepumpe,oppvarmede seter,0.191
464,* varmepumpe,oppvarmede seter,0.191
465,varme pumpe,oppvarmede seter,0.241
466,reservehjul,vinterhjul,0.256
467,-reservehjul,vinterhjul,0.256
468,reserve hjul,vinterhjul,0.304
469,4x4wd,,0.0
470,4x4 wd,,0.0
471,medieinnganger: usb,aux-inngang,0.468
472,medieinnganger: aux,aux-inngang,0.575
473,lys dynamiske kurvelys,elektriske speil,0.136
474,dynamisk kurvelys,xenonlys,0.057
475,sidekollisjonspute foran med hodekollisjonsputeenhet,kjørecomputer,0.149
476,sidekollisjonspute foran med hodekollisjonspute,kjørecomputer,0.16
477,bakkenedkjøringsassistent,parkeringsensor bak,0.138
478,hdc bakkenedkjøringsassistent,parkeringsensor bak,0.13
479,kjørefelt assist,kjørecomputer,0.219
480,kjørefeltassist,kjørecomputer,0.191
481,kjørefelt assistanse,kjørecomputer,0.188
482,kjøre fel tas si stan se,kjørecomputer,0.274
483,kjøre assistanse,kjørecomputer,0.242
484,laserlys,xenonlys,0.081
485,• laserlys,xenonlys,0.081
486,laser lys,xenonlys,0.115
487,gardinkollisjonsputer,kjørecomputer,0.164
488,gardin-kollisjonsputer,kjørecomputer,0.164
489,kollisjonsputer (sider),kjørecomputer,0.19
490,kollisjonsputer ( sider ),kjørecomputer,0.19
491,kollisjonsputer (kne),kjørecomputer,0.191
492,*esp.,,0.0
493,*esp,,0.0
494,oppvarmede bakseter,oppvarmede seter,0.86
495,oppvarmede bakseter.,oppvarmede seter,0.86
496,oppvarmede bak seter,oppvarmede seter,0.963
497,oppvarmede baksete,oppvarmede seter,0.838
498,automatisk nødbremsesystem (aeb),abs-bremser,0.251
499,automatisk nødbremsesystem,abs-bremser,0.274
500,volvo on cal,,0.0
501,volvo on call.,sentrallås,0.114
502,• volvo on call,sentrallås,0.114
503,ft02 lane keeping aid lane keeping aid,antispinn,0.151
504,lane keeping aid: lane keeping aid.,antispinn,0.161
505,- adaptive cruisecontroll,cruisekontroll,0.551
506,- adaptive cruise control,cruisekontroll,0.567
507,- adaptiv cruisecontroll,cruisekontroll,0.562
508,-adaptiv cruise control,cruisekontroll,0.582
509,• adaptiv cruisecontroll,cruisekontroll,0.562
510,• adaptiv cruise control,cruisekontroll,0.582
511,- dynamisk led lys,xenonlys,0.082
512,- dynamisk hovedlys,xenonlys,0.063
513,dynamiske led lys,elektriske speil,0.201
514,oppvarmede seter foran x2,oppvarmede seter,0.899
515,- oppvarmede seter foran,oppvarmede seter,0.899
516,oppvarmede framseter,oppvarmede seter,0.732
517,oppvarmede forseter.,oppvarmede seter,0.889
518,air-condition,air condition,0.798
519,*aircondition,air condition,0.798
520,airconditon,air condition,0.542
521,• el. innfellbare sidespeil,elektriske speil,0.213
522,- el innfellbare sidespeil,elektriske speil,0.213
523,parkeringssensorer: bak,parkeringsensor bak,0.739
524,parkeringssensorer bak,parkeringsensor bak,0.739
525,parkeringsensorer bak,parkeringsensor bak,0.916
526,parkerings sensorer bak,parkeringsensor bak,0.808
527,panorama tak,takrails,0.111
528,* panoramatak,takrails,0.096
529,panorama-tak,takrails,0.096
530,soft close på dører,isofix,0.182
531,soft close av dører,isofix,0.182
532,323 softclose på dører,isofix,0.138
533,softclose dører,isofix,0.15
534,lys ekstra fjernlys,xenonlys,0.271
535,ekstra fjernlys,fjernstyrt sentrallås,0.28
536,hill descent control,cruisekontroll,0.19
537,• hill descent control,cruisekontroll,0.19
538,rn02 hill descent control,cruisekontroll,0.154
539,descent control,cruisekontroll,0.214
540,hill desent control,sentrallås,0.244
541,"precrash, beltestramming",beltevarsler,0.209
542,"precrash, beltestramminging",beltevarsler,0.193
543,-knekollisjonspute for fører,kjørecomputer,0.142
544,knekollisjonspute for fører,kjørecomputer,0.142
545,trafikkskiltgjenkjenning.,skinninteriør,0.194
546,-trafikkskiltgjenkjenning,skinninteriør,0.194
547,trafikkskilt gjenkjenning.,skinninteriør,0.207
548,med trafikkskiltgjenkjenning,skinninteriør,0.192
549,-blindsone varsler,beltevarsler,0.434
550,-blindsonevarsler,beltevarsler,0.479
551,blindsonevarlser,beltevarsler,0.125
552,blindsonvarsler,beltevarsler,0.374
553,blind sone varsler,beltevarsler,0.49
554,ventilasjon i sete,navigasjonssystem,0.185
555,ventilasjon i seter,navigasjonssystem,0.182
556,ventilasjon i seter foran,airbag foran,0.218
557,gps-antenne,antispinn,0.081
558,gps antenne,antispinn,0.103
559,6x airbag,airbag foran,0.837
560,6 x airbag,airbag foran,0.837
561,6x airbags,airbag foran,0.688
562,-skilt gjenkjenning,skinninteriør,0.259
563,- skiltgjenkjenning,skinninteriør,0.235
564,-parkerings-sensor foran og bak,parkeringsensor foran,0.807
565,-parkeringssensor foran og bak,parkeringsensor foran,0.807
566,-parkeringsensor foran og bak,parkeringsensor foran,0.977
567,- parkeringssensor forran og bak,parkeringsensor foran,0.656
568,- parkeringsvarsler foran og bak,parkeringsensor foran,0.506
569,508 parkeringssensor foran og bak,parkeringsensor foran,0.744
570,parkeringsensor foran og bak,parkeringsensor foran,0.977
571,justerbar ratt,regulerbart ratt,0.494
572,*justerbart ratt,regulerbart ratt,0.545
573,-justerbar ratt,regulerbart ratt,0.494
574,filskiftevarsler,beltevarsler,0.556
575,-filskiftevarsler,beltevarsler,0.556
576,filskiftevarsel,beltevarsler,0.328
577,fuktighetssensor,regnsensor,0.241
578,• fuktighetssensor,regnsensor,0.241
579,- el bakluke,parkeringsensor bak,0.074
580,el  bakluke,parkeringsensor bak,0.074
581,aktiv parkeringsassistent,parkeringsensor bak,0.407
582,* aktiv parkeringsassistent,parkeringsensor bak,0.407
583,telefon bluetooth,bluetooth,0.811
584,telefon - bluetooth,bluetooth,0.811
585,"6"" touchscreen",handsfree opplegg,0.091
586,touchscreen,handsfree opplegg,0.091
587,"7"" touch- screen",handsfree opplegg,0.107
588,tonede sideruter,airbag foran side,0.169
589,sotede sideruter,airbag foran side,0.161
590,rd02 hill start assist hill start assist,startsperre,0.244
